Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR4420293_1	0.45918914302135583	11.288796365240273
SRR4420293_2	0.45576543887212984	5.065485626330858
SRR4420294_1	0.75004742832484	19.12038625238486
SRR4420294_2	0.9960645208276824	7.440882792556621
SRR4420295_1	0.5395428422694359	8.553202722627372
SRR4420295_2	0.5381392839860203	4.815783915184476
SRR4420296_1	1.0255472787292572	11.194532137809647
SRR4420296_2	1.45560759605467	7.307485783295895
SRR4420297_1	0.4367004198937948	9.655209228889923
SRR4420297_2	0.5975069204301446	5.101452774789725
SRR4420298_1	0.32574879673315904	6.882041204130263
SRR4420298_2	0.5982458424190085	3.7604689916588816
